,Verkauf in,Bauart,Marke,Modell,Kategorie,Erstzulassung,Km-Stand,Getriebeart,Leistung in kW,Chassis,Verkaufspreis,Wunschpreis,PLZ Verkäufer,Fahrzeugalter,fahrzeugalter_cat,Kilometer_cat
797,2023-08-01,Wohnmobil,LMC,Breezer V 646 G Sportline,Teilintegrierter,2015-06-01,52000.0,Schaltung,109.0,Fiat,45600,45600,38448,98,5-10 Jahre,50.001-100.000 km
798,2023-08-01,Wohnmobil,Sunlight,A60,Teilintegrierter,2021-02-01,14500.0,Schaltung,103.0,Fiat,45500,48600,82772,30,2-5 Jahre,0-20.000 km
799,2023-08-01,Wohnmobil,Knaus,Sport Traveller 500 D mit DPF,Alkoven,2005-05-01,92600.0,Schaltung,81.0,Fiat Ducato,15200,20000,41564,219,Über 10 Jahre,50.001-100.000 km
800,2023-08-01,Wohnmobil,Carado,Vlow 640,Kastenwagen,2019-07-01,23000.0,Schaltung,96.0,Fiat ,45000,45000,95689,49,2-5 Jahre,20.001-50.000 km
801,2023-08-01,Wohnmobil,Weinsberg,CaraCompact Suite 640 MEG Pepper Aut.,Teilintegrierter,2022-10-01,11222.0,Automatik,125.0,Mercedes ,76000,88000,94060,10,0-2 Jahre,0-20.000 km
802,2023-08-01,Wohnmobil,Knaus,Boxstar 540 Road 60 Years Ed. Aufstelldach ,Kastenwagen,2022-05-01,3400.0,Schaltung,103.0,Fiat ,55900,61600,31707,15,0-2 Jahre,0-20.000 km
803,2023-08-01,Wohnmobil,Karmann,Davis 600 / 9G-Tronic *Neu*,Kastenwagen,2023-08-01,3.0,Automatik,103.0,Fiat ,56500,62300,66606,0,0-2 Jahre,0-20.000 km
804,2023-08-01,Wohnwagen,Hymer,Troll 530 Touring GT,,2015-03-01,,,,,19400,21500,52072,101,5-10 Jahre,Über 100.000 km
805,2023-08-01,Wohnmobil,P.L.A.,Plasy HP 63,Teilintegrierter,2014-07-01,33000.0,Schaltung,96.0,Fiat ,34200,34200,93080,109,5-10 Jahre,20.001-50.000 km
806,2023-08-01,Wohnmobil,GiottiLine,Therry T36 Evolution,Teilintegrierter,2012-06-01,112000.0,Schaltung,96.0,Citroen ,22100,22000,27612,134,Über 10 Jahre,Über 100.000 km
807,2023-08-01,Wohnmobil,Bürstner,Lyseo 744 Harmony Line 3.85 t,Teilintegrierter,2019-12-01,20600.0,Schaltung,110.0,Fiat,57000,62000,91729,44,2-5 Jahre,20.001-50.000 km
808,2023-08-01,Wohnmobil,Etrusco,T 7400 SB ,Teilintegrierter,2022-03-01,29750.0,Schaltung,103.0,Fiat,56900,56900,31789,17,0-2 Jahre,20.001-50.000 km
809,2023-08-01,Wohnmobil,Knaus,Sky TI 650 MF Platinum Selection,Teilintegrierter,2020-06-01,24000.0,Schaltung,103.0,Fiat,55000,62500,63801,38,2-5 Jahre,20.001-50.000 km
810,2023-09-01,Wohnmobil,Weinsberg,CaraCore 9G-Tronic 4.0t,Integrierter,2021-10-01,4500.0,Automatik,130.0,Fiat,73000,80000,38446,23,0-2 Jahre,0-20.000 km
811,2023-09-01,Wohnmobil,Glücksmobil,T59,Teilintegrierter,2014-05-01,83600.0,Schaltung,85.0,Fiat ,28000,32000,91729,112,5-10 Jahre,50.001-100.000 km
812,2023-08-01,Wohnmobil,Challenger,380 Graphite Aut. 4.0 t,Teilintegrierter,2021-01-01,36000.0,Automatik,125.0,Ford,53900,59500,77833,31,2-5 Jahre,20.001-50.000 km
813,2023-08-01,Wohnmobil,Sunlight,Cliff 600 / 9G-Tronic,Kastenwagen,2020-11-01,20000.0,Automatik,103.0,Fiat Ducato,49200,52000,76287,33,2-5 Jahre,0-20.000 km
814,2023-08-01,Wohnmobil,Knaus,Sky ti 700 MEG 4.0t,Teilintegrierter,2012-05-01,101000.0,Schaltung,130.0,Fiat ,40100,46000,41517,135,Über 10 Jahre,Über 100.000 km
815,2023-08-01,Wohnmobil,Miller,SEA,Alkoven,2009-03-01,91300.0,Schaltung,96.0,Fiat Ducato,25900,25900,85301,173,Über 10 Jahre,50.001-100.000 km
816,2023-08-01,Wohnmobil,Sunlight,Cliff Adventure Edition 4x4 ,Kastenwagen,2023-06-01,4000.0,Schaltung,125.0,Ford ,63000,75900,23611,2,0-2 Jahre,0-20.000 km
817,2023-09-01,Wohnmobil,Weinsberg,Carahome 550,Alkoven,2019-10-01,27000.0,Schaltung,96.0,Peugeot ,40000,45000,99869,47,2-5 Jahre,20.001-50.000 km
818,2023-08-01,Wohnmobil,Pössl,Duett  L,Kastenwagen,2003-04-01,140000.0,Schaltung,94.0,Fiat  ,12000,12000,63128,244,Über 10 Jahre,Über 100.000 km
819,2023-08-01,Wohnmobil,Bürstner,Delphin 690 G Harmony Line ,Teilintegrierter,2020-09-01,32500.0,Schaltung,103.0,Citroën ,51350,53550,70567,35,2-5 Jahre,20.001-50.000 km
820,2023-08-01,Wohnmobil,Hobby,TL 500 GESC 3.5t,Teilintegrierter,2012-02-01,71800.0,Schaltung,103.0,Ford ,32000,32000,42897,138,Über 10 Jahre,50.001-100.000 km
821,2023-08-01,Wohnmobil,Niesmann + Bischoff,Arto 66L Aut. 4.0t,Integrierter,2016-07-01,49000.0,Automatik,130.0,Fiat,80000,89500,75417,85,5-10 Jahre,20.001-50.000 km
822,2023-08-01,Wohnmobil,Sunlight,T 66,Teilintegrierter,2015-04-01,27096.0,Schaltung,96.0,Fiat Ducato,42000,44500,76228,100,5-10 Jahre,20.001-50.000 km
823,2023-09-01,Wohnmobil,Hymer,Free 600 / 9G-Tronic,Kastenwagen,2020-08-01,15500.0,Automatik,118.0,Fiat Ducato,56500,61500,72275,37,2-5 Jahre,0-20.000 km
824,2023-08-01,Wohnmobil,Roller Team,Granduca xlp ,Teilintegrierter,2009-07-01,70000.0,Schaltung,96.0,Fiat ,25000,25000,49477,169,Über 10 Jahre,50.001-100.000 km
825,2023-08-01,Wohnmobil,Clever,Tour 540,Kastenwagen,2020-05-01,10500.0,Schaltung,121.0,Citroen ,44800,52000,70437,39,2-5 Jahre,0-20.000 km
826,2023-08-01,Wohnmobil,Ahorn,Canada TF Plus 4.0 t,Teilintegrierter,2021-03-01,36450.0,Schaltung,107.0,Renault ,51000,56000,14778,29,2-5 Jahre,20.001-50.000 km
827,2023-08-01,Wohnmobil,Adria,Coral 670 SL 4.09 t,Teilintegrierter,2020-05-01,21500.0,Schaltung,103.0,Citroen Jumper,57400,62000,46286,39,2-5 Jahre,20.001-50.000 km
828,2023-08-01,Wohnmobil,Sunlight,T 66,Teilintegrierter,2021-01-01,21200.0,Schaltung,96.0,Fiat Ducato,47000,49900,53894,31,2-5 Jahre,20.001-50.000 km
829,2023-08-01,Wohnmobil,Phoenix,7400 RSL,Alkoven,2016-12-01,25409.0,Automatik,125.0,IVECO Daily 50C15,119500,135000,47918,80,5-10 Jahre,20.001-50.000 km
830,2023-08-01,Wohnmobil,Sunlight,T 69 L,Teilintegrierter,2019-02-01,30000.0,Schaltung,96.0,Fiat,51000,57000,90461,54,2-5 Jahre,20.001-50.000 km
831,2023-08-01,Wohnmobil,Knaus,"BoxStar 630 Freeway ""60 Years Edition""",Kastenwagen,2020-12-01,7650.0,Schaltung,103.0,Fiat Ducato,56200,54800,85716,32,2-5 Jahre,0-20.000 km
832,2023-08-01,Wohnmobil,Dethleffs,Wohnmobil *Oldtimer*,Teilintegrierter,1992-04-01,171200.0,Schaltung,55.0,Fiat,7100,9000,27753,376,Über 10 Jahre,Über 100.000 km
833,2023-08-01,Wohnmobil,Sunlight,I69L Adventure 9G-Tronic,Integrierter,2022-01-01,13000.0,Automatik,118.0,Fiat ,76000,80500,34471,19,0-2 Jahre,0-20.000 km
834,2023-08-01,Wohnmobil,Pössl,Road Star 600L,Kastenwagen,2020-06-01,3500.0,Schaltung,121.0,Citroen ,48000,52000,55758,38,2-5 Jahre,0-20.000 km
835,2023-08-01,Wohnmobil,Malibu,640 LE,Kastenwagen,2017-01-01,51000.0,Schaltung,110.0,Fiat ,51900,55000,26689,79,5-10 Jahre,50.001-100.000 km
836,2023-08-01,Wohnmobil,Pilote,P 600P Essentiell,Teilintegrierter,2020-01-01,19500.0,Schaltung,103.0,Fiat,54500,62300,40235,43,2-5 Jahre,0-20.000 km
837,2023-08-01,Wohnmobil,Orangecamp,K6,Kastenwagen,2015-07-01,25000.0,Schaltung,96.0,Fiat Ducato,36050,44650,82487,97,5-10 Jahre,20.001-50.000 km
838,2023-08-01,Wohnmobil,Ford,Nugget mit Aufstelldach,Bus,2019-07-01,62500.0,Schaltung,125.0,Ford,38000,46000,53797,49,2-5 Jahre,50.001-100.000 km
839,2023-08-01,Wohnmobil,Andere,Volkner Mobil 830 HG,Integrierter,1993-12-01,156000.0,Schaltung,177.0,Mercedes 1324 LS,70000,70000,34289,356,Über 10 Jahre,Über 100.000 km
840,2023-08-01,Wohnmobil,Knaus,Sky Wave 650 MG,Teilintegrierter,2014-10-01,38189.0,Schaltung,96.0,Fiat Ducato,37700,39900,51519,106,5-10 Jahre,20.001-50.000 km
